"id","gregorian_date","hijri_date","city_id","fajr","sunrise","dhuhr","asr","maghrib","ishaa"
142,"2025-04-05","6 شوال 1445",142,"04:42:00","06:03:00","12:33:00","16:02:00","18:55:00","20:05:00"
143,"2025-04-05","6 شوال 1445",143,"04:39:00","06:00:00","12:32:00","16:00:00","18:54:00","20:04:00"
144,"2025-04-05","6 شوال 1445",144,"04:37:00","05:59:00","12:28:00","15:57:00","18:49:00","20:00:00"
145,"2025-04-05","6 شوال 1445",145,"04:35:00","05:55:00","12:28:00","15:58:00","18:52:00","20:02:00"
146,"2025-04-05","6 شوال 1445",146,"04:38:00","05:58:00","12:31:00","16:00:00","18:54:00","20:04:00"
147,"2025-04-05","6 شوال 1445",147,"04:39:00","06:02:00","12:30:00","15:58:00","18:49:00","20:01:00"
148,"2025-04-05","6 شوال 1445",148,"04:59:00","06:22:00","12:48:00","16:16:00","19:06:00","20:18:00"
149,"2025-04-05","6 شوال 1445",149,"05:00:00","06:20:00","12:48:00","16:15:00","19:07:00","20:17:00"
150,"2025-04-05","6 شوال 1445",150,"04:58:00","06:19:00","12:45:00","16:12:00","19:03:00","20:14:00"
151,"2025-04-05","6 شوال 1445",151,"04:58:00","06:19:00","12:45:00","16:11:00","19:02:00","20:12:00"
152,"2025-04-05","6 شوال 1445",152,"05:05:00","06:26:00","12:52:00","16:19:00","19:09:00","20:20:00"
153,"2025-04-05","6 شوال 1445",153,"04:58:00","06:19:00","12:47:00","16:14:00","19:05:00","20:16:00"
154,"2025-04-05","6 شوال 1445",154,"04:58:00","06:18:00","12:44:00","16:10:00","19:01:00","20:10:00"
155,"2025-04-05","6 شوال 1445",155,"05:04:00","06:24:00","12:51:00","16:17:00","19:08:00","20:18:00"
156,"2025-04-05","6 شوال 1445",156,"05:15:00","06:36:00","13:01:00","16:26:00","19:16:00","20:27:00"
157,"2025-04-05","6 شوال 1445",157,"05:09:00","06:29:00","12:54:00","16:20:00","19:11:00","20:20:00"
158,"2025-04-05","6 شوال 1445",158,"05:22:00","06:42:00","13:06:00","16:31:00","19:21:00","20:31:00"
159,"2025-04-05","6 شوال 1445",159,"05:13:00","06:35:00","12:59:00","16:26:00","19:15:00","20:27:00"
160,"2025-04-05","6 شوال 1445",160,"05:06:00","06:23:00","12:50:00","16:15:00","19:07:00","20:15:00"
161,"2025-04-05","6 شوال 1445",161,"05:14:00","06:34:00","12:59:00","16:24:00","19:15:00","20:24:00"
162,"2025-04-05","6 شوال 1445",162,"05:14:00","06:33:00","12:57:00","16:21:00","19:12:00","20:21:00"
163,"2025-04-05","6 شوال 1445",163,"05:09:00","06:29:00","12:53:00","16:18:00","19:09:00","20:18:00"
164,"2025-04-05","6 شوال 1445",164,"05:09:00","06:30:00","12:56:00","16:22:00","19:13:00","20:23:00"
165,"2025-04-05","6 شوال 1445",165,"05:31:00","06:49:00","13:12:00","16:34:00","19:25:00","20:33:00"
166,"2025-04-05","6 شوال 1445",166,"05:38:00","06:55:00","13:16:00","16:36:00","19:28:00","20:35:00"
167,"2025-04-05","6 شوال 1445",167,"05:25:00","06:42:00","13:05:00","16:26:00","19:19:00","20:25:00"
168,"2025-04-05","6 شوال 1445",168,"05:35:00","06:51:00","13:13:00","16:34:00","19:27:00","20:33:00"
169,"2025-04-05","6 شوال 1445",169,"05:24:00","06:42:00","13:06:00","16:29:00","19:21:00","20:28:00"
170,"2025-04-05","6 شوال 1445",301,"04:29:00","05:55:00","12:26:00","15:56:00","18:48:00","20:03:00"
171,"2025-04-05","6 شوال 1445",302,"04:29:00","05:56:00","12:26:00","15:56:00","18:47:00","20:03:00"
172,"2025-04-05","6 شوال 1445",303,"04:28:00","05:55:00","12:25:00","15:56:00","18:47:00","20:02:00"
173,"2025-04-05","6 شوال 1445",304,"04:29:00","05:57:00","12:26:00","15:56:00","18:46:00","20:03:00"
174,"2025-04-05","6 شوال 1445",305,"04:51:00","06:13:00","12:43:00","16:12:00","19:04:00","20:15:00"
175,"2025-04-05","6 شوال 1445",306,"04:53:00","06:15:00","12:45:00","16:14:00","19:06:00","20:18:00"
176,"2025-04-05","6 شوال 1445",307,"04:45:00","06:09:00","12:38:00","16:06:00","18:57:00","20:10:00"
177,"2025-04-05","6 شوال 1445",308,"04:47:00","06:06:00","12:39:00","16:07:00","19:02:00","20:11:00"
178,"2025-04-05","6 شوال 1445",309,"04:36:00","05:57:00","12:30:00","15:59:00","18:53:00","20:03:00"
179,"2025-04-05","6 شوال 1445",310,"04:36:00","05:59:00","12:30:00","15:59:00","18:51:00","20:03:00"
180,"2025-04-05","6 شوال 1445",311,"04:47:00","06:08:00","12:39:00","16:08:00","19:00:00","20:11:00"
181,"2025-04-05","6 شوال 1445",312,"04:38:00","06:06:00","12:35:00","16:05:00","18:55:00","20:11:00"
182,"2025-04-05","6 شوال 1445",313,"04:47:00","06:08:00","12:39:00","16:07:00","19:00:00","20:11:00"
183,"2025-04-05","6 شوال 1445",314,"04:46:00","06:09:00","12:38:00","16:07:00","18:59:00","20:11:00"
184,"2025-04-05","6 شوال 1445",315,"04:47:00","06:09:00","12:39:00","16:08:00","19:01:00","20:12:00"
185,"2025-04-05","6 شوال 1445",316,"04:52:00","06:13:00","12:44:00","16:13:00","19:05:00","20:16:00"
186,"2025-04-05","6 شوال 1445",317,"04:48:00","06:06:00","12:39:00","16:08:00","19:02:00","20:11:00"
187,"2025-04-05","6 شوال 1445",318,"04:46:00","06:06:00","12:38:00","16:07:00","19:01:00","20:11:00"
188,"2025-04-05","6 شوال 1445",319,"04:47:00","06:07:00","12:37:00","16:05:00","18:57:00","20:07:00"
189,"2025-04-05","6 شوال 1445",320,"04:45:00","06:05:00","12:35:00","16:03:00","18:56:00","20:06:00"
190,"2025-04-05","6 شوال 1445",321,"04:17:00","05:40:00","12:12:00","15:41:00","18:34:00","19:46:00"
